Sl. No,States/UTs,2020-21,2021-22,2022-23,"2023-24 (upto Dec,23)"
1,Andhra Pradesh,1871.84,1871.84,1871.84,1403.88
2,Arunachal Pradesh,88.99,89,89,66.75
3,Assam,1694.32,1694.73,1695.13,1271.35
4,Bihar,5524.33,5527.1,5527.1,4145.33
5,Chhattisgarh,1384.06,1384.06,1384.06,1038.04
6,Delhi,450.69,448.68,448.69,336.54
7,Goa,58.17,59.05,59.05,44.28
8,Gujarat,2178.4,2175.74,2185.38,1655.98
9,Haryana,795,795,795,596.25
10,Himachal Pradesh,508.02,508.02,508.02,381.02
11,Jharkhand,1739.51,1724.9,1743.73,1313.02
12,Karnataka,2608.8,2608.82,2608.84,1956.63
13,Kerala,1395.97,1425.05,1425.05,1068.79
14,Madhya Pradesh,3443.28,3165.84,3259.68,2562.63
15,Maharashtra,4605.19,4605.19,4605.19,3453.89
16,Manipur,162.6,130.99,136.17,102.21
17,Meghalaya,176.3,176.3,176.3,132.22
18,Mizoram,65.76,65.76,65.76,49.32
19,Nagaland,138.06,138.06,138.06,103.54
20,Odisha,2224.92,2244.23,2249.71,1687.28
21,Punjab,870.12,870.12,870.12,652.59
22,Rajasthan,2788.07,2770.58,2770.58,2077.94
23,Sikkim,44.32,44.32,44.32,33.24
24,Tamil Nadu,3677.75,3677.75,3677.75,2758.31
25,Telangana,1338,1338,1338,1003.5
26,Tripura,271.19,271.23,271.22,203.42
27,Uttrakhand,503,503,502.99,377.24
28,Uttar Pradesh,9436.97,9782.05,9878.54,7448.23
29,West Bengal,3970.62,3970.62,3970.62,2977.97
30,Andaman and Nicobar Islands,29.56,29.56,29.56,22.17
31,Chandigarh,0,0,0,0
32,Dadra and Nagar Haveli and Daman and Diu,15.89,15.42,15.16,11.35
33,Jammu and Kashmir,734.65,734.65,734.65,550.99
34,Ladakh,16.43,16.43,16.43,12.32
35,Lakshadweep,4.62,4.62,4.62,3.47
36,Puducherry,0,0,0,0
Total,Total,54815.41,54866.71,55096.31,41501.68
